376,J0001+1914,01:08.6,+19:14:33.0000
377,J0001-1551,01:05.3,-15:51:07.0000
378,J0003+2129,03:19.3,+21:29:44.0000
379,J0004+2019,04:35.8,+20:19:42.0100
380,J0004+4615,04:16.1,+46:15:18.0000
381,J0004-1148,04:04.9,-11:48:58.0000
382,J0005+0524,05:20.2,+05:24:10.0000
383,J0005+3820,05:57.2,+38:20:14.9900
384,J0005-1648,05:17.9,-16:48:04.0000
385,J0006+2422,06:48.8,+24:22:36.0000
386,J0006-0623,06:13.9,-06:23:35.0000
387,J0009+0628,09:03.9,+06:28:21.2000
388,J0010+1058,10:31.0,+10:58:29.0000
389,J0010+1724,10:34.0,+17:24:18.0000
390,J0010+2047,10:28.7,+20:47:49.0000
391,J0011+0057,11:30.4,+00:57:51.0000
392,J0012+3353,12:47.4,+33:53:38.0100
393,J0013+1910,13:56.4,+19:10:41.0000
394,J0013-0423,13:54.1,-04:23:52.0000
395,J0013-1513,13:20.7,-15:13:47.0000
396,J0015-1812,15:02.5,-18:12:50.0000
397,J0016-0015,16:11.1,-00:15:12.0000
398,J0017+8135,17:08.5,+81:35:08.0000
399,J0017-0512,17:35.8,-05:12:41.0000
400,J0019+2021,19:37.9,+20:21:45.0000
401,J0019+2602,19:39.8,+26:02:52.0000
402,J0019+7327,19:45.8,+73:27:29.9800
403,J0022+0608,22:32.4,+06:08:04.0000
404,J0022+4525,22:06.6,+45:25:33.0000
405,J0023+4456,23:35.4,+44:56:35.0100
406,J0024+2439,24:27.3,+24:39:26.0000
407,J0027+2241,27:15.4,+22:41:58.0000
408,J0028+2408,28:34.2,+24:08:08.0000
409,J0029+0554,29:45.9,+05:54:40.0000
410,J0035-1305,35:47.8,-13:05:11.0000
411,J0037+0808,37:32.2,+08:08:13.0000
412,J0037+1109,37:26.0,+11:09:50.0000
413,J0037+2141,37:23.5,+21:41:53.0000
414,J0038+1227,38:18.0,+12:27:31.2000
415,J0038+1856,38:28.9,+18:56:17.0000
416,J0038+4137,38:24.8,+41:37:05.9900
417,J0038-0329,38:20.8,-03:29:59.0000
418,J0039+1411,39:39.6,+14:11:57.0000
419,J0040-0146,40:57.6,-01:46:32.0000
420,J0042+1009,42:44.4,+10:09:49.0000
421,J0042+2320,42:04.6,+23:20:01.0000
422,J0046+3900,46:47.6,+39:00:46.9900
423,J0047+2435,47:43.9,+24:35:16.0000
424,J0048+3157,48:47.1,+31:57:25.0000
425,J0049+0237,49:43.2,+02:37:03.0000
426,J0049+5128,49:38.0,+51:28:13.0100
427,J0050-0452,50:21.5,-04:52:20.0000
428,J0050-0929,50:41.3,-09:29:05.0000
429,J0051-0650,51:08.2,-06:50:02.0000
430,J0052+4402,52:27.8,+44:02:54.0000
431,J0056+1625,56:55.3,+16:25:13.0000
432,J0057+2218,57:33.3,+22:18:41.0000
433,J0057+3021,57:48.9,+30:21:08.0000
434,J0058+0620,58:33.8,+06:20:06.0000
435,J0100+3345,00:38.3,+33:45:06.0000
436,J0101+0605,01:14.7,+06:05:44.5000
437,J0102+4214,02:27.1,+42:14:18.9940
438,J0105+4819,05:49.9,+48:19:02.9900
439,J0106+1300,06:33.4,+13:00:02.0000
440,J0106+2539,06:11.0,+25:39:30.0000
441,J0106+3402,06:00.3,+34:02:02.9900
442,J0106-0315,06:42.6,-03:15:19.0000
443,J0107+2611,07:47.9,+26:11:08.0000
444,J0108+0135,08:38.8,+01:35:00.0000
445,J0109+1816,09:08.2,+18:16:07.4970
446,J0110-0415,10:30.3,-04:15:14.0000
447,J0110-0741,10:50.0,-07:41:41.0000
448,J0111+3906,11:37.3,+39:06:28.0000
449,J0111-1317,11:56.9,-13:17:01.0000
450,J0112+2244,12:05.8,+22:44:38.0000
451,J0112+3208,12:50.3,+32:08:17.5980
452,J0112+3522,12:12.9,+35:22:19.0000
453,J0113+0222,13:43.1,+02:22:17.0000
